County,State,White,Black,Hispanic,0-24,25-34,35-44,45-54,55+,Male,Female,Natural and Semisynthetic,Synthetic Opioids,Methadone,Heroin,Less than a high school diploma,High school diploma only,Some college (1-3 years),Four years of college or higher,Total,White,Black,Hispanic,0-24,25-34,35-44,45-54,55+,Male,Female,Natural and Semisynthetic,Synthetic Opioids,Methadone,Heroin,Less than a high school diploma,High school diploma only,Some college (1-3 years),Four years of college or higher,Total,White,Black,Hispanic,0-24,25-34,35-44,45-54,55+,Male,Female,Natural and Semisynthetic,Synthetic Opioids,Methadone,Heroin,Less than a high school diploma,High school diploma only,Some college (1-3 years),Four years of college or higher,Total,White,Black,Hispanic,0-24,25-34,35-44,45-54,55+,Male,Female,Natural and Semisynthetic,Synthetic Opioids,Methadone,Heroin,Less than a high school diploma,High school diploma only,Some college (1-3 years),Four years of college or higher,Total,White,Black,Hispanic,0-24,25-34,35-44,45-54,55+,Male,Female,Natural and Semisynthetic,Synthetic Opioids,Methadone,Heroin,Less than a high school diploma,High school diploma only,Some college (1-3 years),Four years of college or higher,Total,White,Black,Hispanic,0-24,25-34,35-44,45-54,55+,Male,Female,Natural and Semisynthetic,Synthetic Opioids,Methadone,Heroin,Less than a high school diploma,High school diploma only,Some college (1-3 years),Four years of college or higher,Total,White,Black,Hispanic,0-24,25-34,35-44,45-54,55+,Male,Female,Natural and Semisynthetic,Synthetic Opioids,Methadone,Heroin,Less than a high school diploma,High school diploma only,Some college (1-3 years),Four years of college or higher,Total,White,Black,Hispanic,0-24,25-34,35-44,45-54,55+,Male,Female,Natural and Semisynthetic,Synthetic Opioids,Methadone,Heroin,Less than a high school diploma,High school diploma only,Some college (1-3 years),Four years of college or higher,Total,White,Black,Hispanic,0-24,25-34,35-44,45-54,55+,Male,Female,Natural and Semisynthetic,Synthetic Opioids,Methadone,Heroin,Less than a high school diploma,High school diploma only,Some college (1-3 years),Four years of college or higher,Total,White,Black,Hispanic,0-24,25-34,35-44,45-54,55+,Male,Female,Natural and Semisynthetic,Synthetic Opioids,Methadone,Heroin,Less than a high school diploma,High school diploma only,Some college (1-3 years),Four years of college or higher,Total,White,Black,Hispanic,0-24,25-34,35-44,45-54,55+,Male,Female,Natural and Semisynthetic,Synthetic Opioids,Methadone,Heroin,Less than a high school diploma,High school diploma only,Some college (1-3 years),Four years of college or higher,Total,White,Black,Hispanic,0-24,25-34,35-44,45-54,55+,Male,Female,Natural and Semisynthetic,Synthetic Opioids,Methadone,Heroin,Less than a high school diploma,High school diploma only,Some college (1-3 years),Four years of college or higher,Total,White,Black,Hispanic,0-24,25-34,35-44,45-54,55+,Male,Female,Natural and Semisynthetic,Synthetic Opioids,Methadone,Heroin,Less than a high school diploma,High school diploma only,Some college (1-3 years),Four years of college or higher,Total,White,Black,Hispanic,0-24,25-34,35-44,45-54,55+,Male,Female,Natural and Semisynthetic,Synthetic Opioids,Methadone,Heroin,Less than a high school diploma,High school diploma only,Some college (1-3 years),Four years of college or higher,Total,White,Black,Hispanic,0-24,25-34,35-44,45-54,55+,Male,Female,Natural and Semisynthetic,Synthetic Opioids,Methadone,Heroin,Less than a high school diploma,High school diploma only,Some college (1-3 years),Four years of college or higher,Total,White,Black,Hispanic,0-24,25-34,35-44,45-54,55+,Male,Female,Natural and Semisynthetic,Synthetic Opioids,Methadone,Heroin,Less than a high school diploma,High school diploma only,Some college (1-3 years),Four years of college or higher,Total,White,Black,Hispanic,0-24,25-34,35-44,45-54,55+,Male,Female,Natural and Semisynthetic,Synthetic Opioids,Methadone,Heroin,Less than a high school diploma,High school diploma only,Some college (1-3 years),Four years of college or higher,Total,White,Black,Hispanic,0-24,25-34,35-44,45-54,55+,Male,Female,Natural and Semisynthetic,Synthetic Opioids,Methadone,Heroin,Less than a high school diploma,High school diploma only,Some college (1-3 years),Four years of college or higher,Total,White,Black,Hispanic,0-24,25-34,35-44,45-54,55+,Male,Female,Natural and Semisynthetic,Synthetic Opioids,Methadone,Heroin,Less than a high school diploma,High school diploma only,Some college (1-3 years),Four years of college or higher,Total
 Matanuska-Susitna Borough,AK,2.8,3.5,3.5,2.2344,5.8653,11.172,6.9825,1.6758,4.3,1.4,2.75,0.73,0.78,1.96,4.32,9.29,11.28,7.45,0.07,3.1,3.5,2.7,2.5398,5.644,11.0058,7.3372,1.6932,4.4,1.6,2.92,0.78,0.99,1.84,4.43,10.58,13.57,9.38,0.1,3.7,3.3,2.6,2.85,5.13,10.545,7.695,1.995,4.8,1.9,3.48,0.96,1.46,1.78,4.43,10.58,13.57,9.38,null,4.7,3.6,3.2,2.876,5.4644,10.066,8.0528,2.3008,5.7,2.6,4.42,1.3,2.36,2.09,4.43,10.58,13.57,9.38,0.249,5.2,3.5,3.2,3.1911,5.5119,9.5733,8.4129,2.3208,6.1,2.8,4.87,1.4,2.97,2.08,4.43,10.58,13.57,9.38,0.179,5.7,3.2,2.9,3.5136,5.5632,9.0768,8.4912,2.6352,6.3,3.1,5.23,1.66,3.85,1.88,4.43,10.58,13.57,9.38,0.128,6.2,3.4,3,3.546,5.91,8.274,8.865,2.955,6.6,3.4,5.77,1.74,4.46,2.01,4.43,10.58,13.57,9.38,0.134,7.3,4.2,3.3,3.5808,5.968,8.0568,8.952,3.2824,7.8,3.9,7.02,2.71,5.41,2.09,4.43,10.58,13.57,9.38,0.178,7.8,3.6,3.2,3.6144,6.3252,7.53,9.036,3.6144,8,4.3,8.16,2.21,5.52,2.4,4.43,10.58,13.57,9.38,0.123,8.2,3.4,3.4,3.6492,6.3861,7.2984,9.123,3.9533,8.4,4.4,9.11,2.31,4.92,3.04,4.43,10.58,13.57,9.38,0.238,8.6,3.6,3.2,3.3748,6.4428,7.0564,8.8972,4.602,8.7,4.6,9.74,2.95,4.7,3.28,4.43,10.58,13.57,9.38,0.219,9.1,3.4,2.9,3.7116,6.8046,7.1139,8.6604,4.6395,8.7,4.9,10.94,3.01,4.58,3.04,4.43,10.58,13.57,9.38,0.112,9.7,3.8,3.3,3.4276,7.1668,6.8552,8.4132,4.9856,9.4,5.2,11.69,2.67,4.42,4.4,4.43,10.58,13.57,9.38,0.207,9.8,4,3.5,3.14,7.222,6.908,8.478,5.338,9.5,5.3,11.13,2.63,3.93,5.93,4.43,10.58,13.57,9.38,0.256,10.5,4.7,3.8,3.162,7.5888,6.9564,8.2212,6.0078,10.2,5.6,11.34,3.11,3.59,8.26,4.43,10.58,13.57,9.38,0.126,12,5.6,4,3.186,7.965,7.0092,7.6464,6.0534,11.7,6.3,12.16,5.54,3.4,10.57,3.48,13.39,16.95,13.96,0.194,13.9,6.6,4.6,3.21,8.346,7.383,7.383,6.099,13.7,7.1,12.73,9.58,3.3,12.99,3.48,13.39,16.95,13.96,0.138,17.5,10.3,6.1,3.234,8.37,7.4382,7.1148,6.18,18.1,8.5,14.49,19.41,3.37,15.47,3.48,13.39,16.95,13.96,0.24,19.4,12.9,6.8,2.9313,8.46,7.4911,6.8397,6.1883,20.4,9.4,14.5,28.47,3.19,15.48,3.48,13.39,16.95,13.96,0.197
 Juneau Borough,AK,2.8,3.5,3.5,2.2344,5.8653,11.172,6.9825,1.6758,4.3,1.4,2.75,0.73,0.78,1.96,4.32,9.29,11.28,7.45,0.053,3.1,3.5,2.7,2.5398,5.644,11.0058,7.3372,1.6932,4.4,1.6,2.92,0.78,0.99,1.84,4.43,10.58,13.57,9.38,0.096,3.7,3.3,2.6,2.85,5.13,10.545,7.695,1.995,4.8,1.9,3.48,0.96,1.46,1.78,4.43,10.58,13.57,9.38,null,4.7,3.6,3.2,2.876,5.4644,10.066,8.0528,2.3008,5.7,2.6,4.42,1.3,2.36,2.09,4.43,10.58,13.57,9.38,null,5.2,3.5,3.2,3.1911,5.5119,9.5733,8.4129,2.3208,6.1,2.8,4.87,1.4,2.97,2.08,4.43,10.58,13.57,9.38,null,5.7,3.2,2.9,3.5136,5.5632,9.0768,8.4912,2.6352,6.3,3.1,5.23,1.66,3.85,1.88,4.43,10.58,13.57,9.38,null,6.2,3.4,3,3.546,5.91,8.274,8.865,2.955,6.6,3.4,5.77,1.74,4.46,2.01,4.43,10.58,13.57,9.38,null,7.3,4.2,3.3,3.5808,5.968,8.0568,8.952,3.2824,7.8,3.9,7.02,2.71,5.41,2.09,4.43,10.58,13.57,9.38,null,7.8,3.6,3.2,3.6144,6.3252,7.53,9.036,3.6144,8,4.3,8.16,2.21,5.52,2.4,4.43,10.58,13.57,9.38,null,8.2,3.4,3.4,3.6492,6.3861,7.2984,9.123,3.9533,8.4,4.4,9.11,2.31,4.92,3.04,4.43,10.58,13.57,9.38,null,8.6,3.6,3.2,3.3748,6.4428,7.0564,8.8972,4.602,8.7,4.6,9.74,2.95,4.7,3.28,4.43,10.58,13.57,9.38,null,9.1,3.4,2.9,3.7116,6.8046,7.1139,8.6604,4.6395,8.7,4.9,10.94,3.01,4.58,3.04,4.43,10.58,13.57,9.38,null,9.7,3.8,3.3,3.4276,7.1668,6.8552,8.4132,4.9856,9.4,5.2,11.69,2.67,4.42,4.4,4.43,10.58,13.57,9.38,null,9.8,4,3.5,3.14,7.222,6.908,8.478,5.338,9.5,5.3,11.13,2.63,3.93,5.93,4.43,10.58,13.57,9.38,null,10.5,4.7,3.8,3.162,7.5888,6.9564,8.2212,6.0078,10.2,5.6,11.34,3.11,3.59,8.26,4.43,10.58,13.57,9.38,null,12,5.6,4,3.186,7.965,7.0092,7.6464,6.0534,11.7,6.3,12.16,5.54,3.4,10.57,3.48,13.39,16.95,13.96,null,13.9,6.6,4.6,3.21,8.346,7.383,7.383,6.099,13.7,7.1,12.73,9.58,3.3,12.99,3.48,13.39,16.95,13.96,null,17.5,10.3,6.1,3.234,8.37,7.4382,7.1148,6.18,18.1,8.5,14.49,19.41,3.37,15.47,3.48,13.39,16.95,13.96,0.308,19.4,12.9,6.8,2.9313,8.46,7.4911,6.8397,6.1883,20.4,9.4,14.5,28.47,3.19,15.48,3.48,13.39,16.95,13.96,0.374
 Fairbanks North Star Borough,AK,2.8,3.5,3.5,2.2344,5.8653,11.172,6.9825,1.6758,4.3,1.4,2.75,0.73,0.78,1.96,4.32,9.29,11.28,7.45,0.12,3.1,3.5,2.7,2.5398,5.644,11.0058,7.3372,1.6932,4.4,1.6,2.92,0.78,0.99,1.84,4.43,10.58,13.57,9.38,0.06,3.7,3.3,2.6,2.85,5.13,10.545,7.695,1.995,4.8,1.9,3.48,0.96,1.46,1.78,4.43,10.58,13.57,9.38,null,4.7,3.6,3.2,2.876,5.4644,10.066,8.0528,2.3008,5.7,2.6,4.42,1.3,2.36,2.09,4.43,10.58,13.57,9.38,0.128,5.2,3.5,3.2,3.1911,5.5119,9.5733,8.4129,2.3208,6.1,2.8,4.87,1.4,2.97,2.08,4.43,10.58,13.57,9.38,0.115,5.7,3.2,2.9,3.5136,5.5632,9.0768,8.4912,2.6352,6.3,3.1,5.23,1.66,3.85,1.88,4.43,10.58,13.57,9.38,0.125,6.2,3.4,3,3.546,5.91,8.274,8.865,2.955,6.6,3.4,5.77,1.74,4.46,2.01,4.43,10.58,13.57,9.38,0.133,7.3,4.2,3.3,3.5808,5.968,8.0568,8.952,3.2824,7.8,3.9,7.02,2.71,5.41,2.09,4.43,10.58,13.57,9.38,0.11,7.8,3.6,3.2,3.6144,6.3252,7.53,9.036,3.6144,8,4.3,8.16,2.21,5.52,2.4,4.43,10.58,13.57,9.38,null,8.2,3.4,3.4,3.6492,6.3861,7.2984,9.123,3.9533,8.4,4.4,9.11,2.31,4.92,3.04,4.43,10.58,13.57,9.38,0.159,8.6,3.6,3.2,3.3748,6.4428,7.0564,8.8972,4.602,8.7,4.6,9.74,2.95,4.7,3.28,4.43,10.58,13.57,9.38,0.21,9.1,3.4,2.9,3.7116,6.8046,7.1139,8.6604,4.6395,8.7,4.9,10.94,3.01,4.58,3.04,4.43,10.58,13.57,9.38,0.102,9.7,3.8,3.3,3.4276,7.1668,6.8552,8.4132,4.9856,9.4,5.2,11.69,2.67,4.42,4.4,4.43,10.58,13.57,9.38,0.101,9.8,4,3.5,3.14,7.222,6.908,8.478,5.338,9.5,5.3,11.13,2.63,3.93,5.93,4.43,10.58,13.57,9.38,0.11,10.5,4.7,3.8,3.162,7.5888,6.9564,8.2212,6.0078,10.2,5.6,11.34,3.11,3.59,8.26,4.43,10.58,13.57,9.38,0.129,12,5.6,4,3.186,7.965,7.0092,7.6464,6.0534,11.7,6.3,12.16,5.54,3.4,10.57,3.48,13.39,16.95,13.96,0.171,13.9,6.6,4.6,3.21,8.346,7.383,7.383,6.099,13.7,7.1,12.73,9.58,3.3,12.99,3.48,13.39,16.95,13.96,0.11,17.5,10.3,6.1,3.234,8.37,7.4382,7.1148,6.18,18.1,8.5,14.49,19.41,3.37,15.47,3.48,13.39,16.95,13.96,0.139,19.4,12.9,6.8,2.9313,8.46,7.4911,6.8397,6.1883,20.4,9.4,14.5,28.47,3.19,15.48,3.48,13.39,16.95,13.96,0.14
 Anchorage Borough,AK,2.8,3.5,3.5,2.2344,5.8653,11.172,6.9825,1.6758,4.3,1.4,2.75,0.73,0.78,1.96,4.32,9.29,11.28,7.45,0.096,3.1,3.5,2.7,2.5398,5.644,11.0058,7.3372,1.6932,4.4,1.6,2.92,0.78,0.99,1.84,4.43,10.58,13.57,9.38,0.092,3.7,3.3,2.6,2.85,5.13,10.545,7.695,1.995,4.8,1.9,3.48,0.96,1.46,1.78,4.43,10.58,13.57,9.38,0.166,4.7,3.6,3.2,2.876,5.4644,10.066,8.0528,2.3008,5.7,2.6,4.42,1.3,2.36,2.09,4.43,10.58,13.57,9.38,0.157,5.2,3.5,3.2,3.1911,5.5119,9.5733,8.4129,2.3208,6.1,2.8,4.87,1.4,2.97,2.08,4.43,10.58,13.57,9.38,0.152,5.7,3.2,2.9,3.5136,5.5632,9.0768,8.4912,2.6352,6.3,3.1,5.23,1.66,3.85,1.88,4.43,10.58,13.57,9.38,0.106,6.2,3.4,3,3.546,5.91,8.274,8.865,2.955,6.6,3.4,5.77,1.74,4.46,2.01,4.43,10.58,13.57,9.38,0.148,7.3,4.2,3.3,3.5808,5.968,8.0568,8.952,3.2824,7.8,3.9,7.02,2.71,5.41,2.09,4.43,10.58,13.57,9.38,0.114,7.8,3.6,3.2,3.6144,6.3252,7.53,9.036,3.6144,8,4.3,8.16,2.21,5.52,2.4,4.43,10.58,13.57,9.38,0.165,8.2,3.4,3.4,3.6492,6.3861,7.2984,9.123,3.9533,8.4,4.4,9.11,2.31,4.92,3.04,4.43,10.58,13.57,9.38,0.224,8.6,3.6,3.2,3.3748,6.4428,7.0564,8.8972,4.602,8.7,4.6,9.74,2.95,4.7,3.28,4.43,10.58,13.57,9.38,0.212,9.1,3.4,2.9,3.7116,6.8046,7.1139,8.6604,4.6395,8.7,4.9,10.94,3.01,4.58,3.04,4.43,10.58,13.57,9.38,0.134,9.7,3.8,3.3,3.4276,7.1668,6.8552,8.4132,4.9856,9.4,5.2,11.69,2.67,4.42,4.4,4.43,10.58,13.57,9.38,0.176,9.8,4,3.5,3.14,7.222,6.908,8.478,5.338,9.5,5.3,11.13,2.63,3.93,5.93,4.43,10.58,13.57,9.38,0.211,10.5,4.7,3.8,3.162,7.5888,6.9564,8.2212,6.0078,10.2,5.6,11.34,3.11,3.59,8.26,4.43,10.58,13.57,9.38,0.173,12,5.6,4,3.186,7.965,7.0092,7.6464,6.0534,11.7,6.3,12.16,5.54,3.4,10.57,3.48,13.39,16.95,13.96,0.196,13.9,6.6,4.6,3.21,8.346,7.383,7.383,6.099,13.7,7.1,12.73,9.58,3.3,12.99,3.48,13.39,16.95,13.96,0.204,17.5,10.3,6.1,3.234,8.37,7.4382,7.1148,6.18,18.1,8.5,14.49,19.41,3.37,15.47,3.48,13.39,16.95,13.96,0.181,19.4,12.9,6.8,2.9313,8.46,7.4911,6.8397,6.1883,20.4,9.4,14.5,28.47,3.19,15.48,3.48,13.39,16.95,13.96,0.268
 Kenai Peninsula Borough,AK,2.8,3.5,3.5,2.2344,5.8653,11.172,6.9825,1.6758,4.3,1.4,2.75,0.73,0.78,1.96,4.32,9.29,11.28,7.45,null,3.1,3.5,2.7,2.5398,5.644,11.0058,7.3372,1.6932,4.4,1.6,2.92,0.78,0.99,1.84,4.43,10.58,13.57,9.38,null,3.7,3.3,2.6,2.85,5.13,10.545,7.695,1.995,4.8,1.9,3.48,0.96,1.46,1.78,4.43,10.58,13.57,9.38,null,4.7,3.6,3.2,2.876,5.4644,10.066,8.0528,2.3008,5.7,2.6,4.42,1.3,2.36,2.09,4.43,10.58,13.57,9.38,null,5.2,3.5,3.2,3.1911,5.5119,9.5733,8.4129,2.3208,6.1,2.8,4.87,1.4,2.97,2.08,4.43,10.58,13.57,9.38,null,5.7,3.2,2.9,3.5136,5.5632,9.0768,8.4912,2.6352,6.3,3.1,5.23,1.66,3.85,1.88,4.43,10.58,13.57,9.38,0.098,6.2,3.4,3,3.546,5.91,8.274,8.865,2.955,6.6,3.4,5.77,1.74,4.46,2.01,4.43,10.58,13.57,9.38,0.233,7.3,4.2,3.3,3.5808,5.968,8.0568,8.952,3.2824,7.8,3.9,7.02,2.71,5.41,2.09,4.43,10.58,13.57,9.38,0.211,7.8,3.6,3.2,3.6144,6.3252,7.53,9.036,3.6144,8,4.3,8.16,2.21,5.52,2.4,4.43,10.58,13.57,9.38,null,8.2,3.4,3.4,3.6492,6.3861,7.2984,9.123,3.9533,8.4,4.4,9.11,2.31,4.92,3.04,4.43,10.58,13.57,9.38,0.186,8.6,3.6,3.2,3.3748,6.4428,7.0564,8.8972,4.602,8.7,4.6,9.74,2.95,4.7,3.28,4.43,10.58,13.57,9.38,0.255,9.1,3.4,2.9,3.7116,6.8046,7.1139,8.6604,4.6395,8.7,4.9,10.94,3.01,4.58,3.04,4.43,10.58,13.57,9.38,null,9.7,3.8,3.3,3.4276,7.1668,6.8552,8.4132,4.9856,9.4,5.2,11.69,2.67,4.42,4.4,4.43,10.58,13.57,9.38,null,9.8,4,3.5,3.14,7.222,6.908,8.478,5.338,9.5,5.3,11.13,2.63,3.93,5.93,4.43,10.58,13.57,9.38,0.211,10.5,4.7,3.8,3.162,7.5888,6.9564,8.2212,6.0078,10.2,5.6,11.34,3.11,3.59,8.26,4.43,10.58,13.57,9.38,null,12,5.6,4,3.186,7.965,7.0092,7.6464,6.0534,11.7,6.3,12.16,5.54,3.4,10.57,3.48,13.39,16.95,13.96,0.191,13.9,6.6,4.6,3.21,8.346,7.383,7.383,6.099,13.7,7.1,12.73,9.58,3.3,12.99,3.48,13.39,16.95,13.96,0.276,17.5,10.3,6.1,3.234,8.37,7.4382,7.1148,6.18,18.1,8.5,14.49,19.41,3.37,15.47,3.48,13.39,16.95,13.96,0.256,19.4,12.9,6.8,2.9313,8.46,7.4911,6.8397,6.1883,20.4,9.4,14.5,28.47,3.19,15.48,3.48,13.39,16.95,13.96,0.188
 Franklin County,AL,2.8,3.5,3.5,2.2344,5.8653,11.172,6.9825,1.6758,4.3,1.4,2.75,0.73,0.78,1.96,84.36,74.96,55.35,39.92,null,3.1,3.5,2.7,2.5398,5.644,11.0058,7.3372,1.6932,4.4,1.6,2.92,0.78,0.99,1.84,71.41,87.72,74.65,54.96,null,3.7,3.3,2.6,2.85,5.13,10.545,7.695,1.995,4.8,1.9,3.48,0.96,1.46,1.78,71.41,87.72,74.65,54.96,null,4.7,3.6,3.2,2.876,5.4644,10.066,8.0528,2.3008,5.7,2.6,4.42,1.3,2.36,2.09,71.41,87.72,74.65,54.96,null,5.2,3.5,3.2,3.1911,5.5119,9.5733,8.4129,2.3208,6.1,2.8,4.87,1.4,2.97,2.08,71.41,87.72,74.65,54.96,null,5.7,3.2,2.9,3.5136,5.5632,9.0768,8.4912,2.6352,6.3,3.1,5.23,1.66,3.85,1.88,71.41,87.72,74.65,54.96,null,6.2,3.4,3,3.546,5.91,8.274,8.865,2.955,6.6,3.4,5.77,1.74,4.46,2.01,71.41,87.72,74.65,54.96,null,7.3,4.2,3.3,3.5808,5.968,8.0568,8.952,3.2824,7.8,3.9,7.02,2.71,5.41,2.09,71.41,87.72,74.65,54.96,null,7.8,3.6,3.2,3.6144,6.3252,7.53,9.036,3.6144,8,4.3,8.16,2.21,5.52,2.4,71.41,87.72,74.65,54.96,null,8.2,3.4,3.4,3.6492,6.3861,7.2984,9.123,3.9533,8.4,4.4,9.11,2.31,4.92,3.04,71.41,87.72,74.65,54.96,null,8.6,3.6,3.2,3.3748,6.4428,7.0564,8.8972,4.602,8.7,4.6,9.74,2.95,4.7,3.28,71.41,87.72,74.65,54.96,null,9.1,3.4,2.9,3.7116,6.8046,7.1139,8.6604,4.6395,8.7,4.9,10.94,3.01,4.58,3.04,71.41,87.72,74.65,54.96,null,9.7,3.8,3.3,3.4276,7.1668,6.8552,8.4132,4.9856,9.4,5.2,11.69,2.67,4.42,4.4,71.41,87.72,74.65,54.96,null,9.8,4,3.5,3.14,7.222,6.908,8.478,5.338,9.5,5.3,11.13,2.63,3.93,5.93,71.41,87.72,74.65,54.96,null,10.5,4.7,3.8,3.162,7.5888,6.9564,8.2212,6.0078,10.2,5.6,11.34,3.11,3.59,8.26,71.41,87.72,74.65,54.96,0.317,12,5.6,4,3.186,7.965,7.0092,7.6464,6.0534,11.7,6.3,12.16,5.54,3.4,10.57,47,102.02,98.71,82.26,null,13.9,6.6,4.6,3.21,8.346,7.383,7.383,6.099,13.7,7.1,12.73,9.58,3.3,12.99,47,102.02,98.71,82.26,null,17.5,10.3,6.1,3.234,8.37,7.4382,7.1148,6.18,18.1,8.5,14.49,19.41,3.37,15.47,47,102.02,98.71,82.26,null,19.4,12.9,6.8,2.9313,8.46,7.4911,6.8397,6.1883,20.4,9.4,14.5,28.47,3.19,15.48,47,102.02,98.71,82.26,null
 Elmore County,AL,2.8,3.5,3.5,2.2344,5.8653,11.172,6.9825,1.6758,4.3,1.4,2.75,0.73,0.78,1.96,84.36,74.96,55.35,39.92,null,3.1,3.5,2.7,2.5398,5.644,11.0058,7.3372,1.6932,4.4,1.6,2.92,0.78,0.99,1.84,71.41,87.72,74.65,54.96,null,3.7,3.3,2.6,2.85,5.13,10.545,7.695,1.995,4.8,1.9,3.48,0.96,1.46,1.78,71.41,87.72,74.65,54.96,null,4.7,3.6,3.2,2.876,5.4644,10.066,8.0528,2.3008,5.7,2.6,4.42,1.3,2.36,2.09,71.41,87.72,74.65,54.96,null,5.2,3.5,3.2,3.1911,5.5119,9.5733,8.4129,2.3208,6.1,2.8,4.87,1.4,2.97,2.08,71.41,87.72,74.65,54.96,null,5.7,3.2,2.9,3.5136,5.5632,9.0768,8.4912,2.6352,6.3,3.1,5.23,1.66,3.85,1.88,71.41,87.72,74.65,54.96,null,6.2,3.4,3,3.546,5.91,8.274,8.865,2.955,6.6,3.4,5.77,1.74,4.46,2.01,71.41,87.72,74.65,54.96,null,7.3,4.2,3.3,3.5808,5.968,8.0568,8.952,3.2824,7.8,3.9,7.02,2.71,5.41,2.09,71.41,87.72,74.65,54.96,null,7.8,3.6,3.2,3.6144,6.3252,7.53,9.036,3.6144,8,4.3,8.16,2.21,5.52,2.4,71.41,87.72,74.65,54.96,null,8.2,3.4,3.4,3.6492,6.3861,7.2984,9.123,3.9533,8.4,4.4,9.11,2.31,4.92,3.04,71.41,87.72,74.65,54.96,null,8.6,3.6,3.2,3.3748,6.4428,7.0564,8.8972,4.602,8.7,4.6,9.74,2.95,4.7,3.28,71.41,87.72,74.65,54.96,null,9.1,3.4,2.9,3.7116,6.8046,7.1139,8.6604,4.6395,8.7,4.9,10.94,3.01,4.58,3.04,71.41,87.72,74.65,54.96,null,9.7,3.8,3.3,3.4276,7.1668,6.8552,8.4132,4.9856,9.4,5.2,11.69,2.67,4.42,4.4,71.41,87.72,74.65,54.96,null,9.8,4,3.5,3.14,7.222,6.908,8.478,5.338,9.5,5.3,11.13,2.63,3.93,5.93,71.41,87.72,74.65,54.96,null,10.5,4.7,3.8,3.162,7.5888,6.9564,8.2212,6.0078,10.2,5.6,11.34,3.11,3.59,8.26,71.41,87.72,74.65,54.96,null,12,5.6,4,3.186,7.965,7.0092,7.6464,6.0534,11.7,6.3,12.16,5.54,3.4,10.57,47,102.02,98.71,82.26,0.123,13.9,6.6,4.6,3.21,8.346,7.383,7.383,6.099,13.7,7.1,12.73,9.58,3.3,12.99,47,102.02,98.71,82.26,null,17.5,10.3,6.1,3.234,8.37,7.4382,7.1148,6.18,18.1,8.5,14.49,19.41,3.37,15.47,47,102.02,98.71,82.26,null,19.4,12.9,6.8,2.9313,8.46,7.4911,6.8397,6.1883,20.4,9.4,14.5,28.47,3.19,15.48,47,102.02,98.71,82.26,0.122
 St. Clair County,AL,2.8,3.5,3.5,2.2344,5.8653,11.172,6.9825,1.6758,4.3,1.4,2.75,0.73,0.78,1.96,84.36,74.96,55.35,39.92,null,3.1,3.5,2.7,2.5398,5.644,11.0058,7.3372,1.6932,4.4,1.6,2.92,0.78,0.99,1.84,71.41,87.72,74.65,54.96,null,3.7,3.3,2.6,2.85,5.13,10.545,7.695,1.995,4.8,1.9,3.48,0.96,1.46,1.78,71.41,87.72,74.65,54.96,null,4.7,3.6,3.2,2.876,5.4644,10.066,8.0528,2.3008,5.7,2.6,4.42,1.3,2.36,2.09,71.41,87.72,74.65,54.96,null,5.2,3.5,3.2,3.1911,5.5119,9.5733,8.4129,2.3208,6.1,2.8,4.87,1.4,2.97,2.08,71.41,87.72,74.65,54.96,null,5.7,3.2,2.9,3.5136,5.5632,9.0768,8.4912,2.6352,6.3,3.1,5.23,1.66,3.85,1.88,71.41,87.72,74.65,54.96,null,6.2,3.4,3,3.546,5.91,8.274,8.865,2.955,6.6,3.4,5.77,1.74,4.46,2.01,71.41,87.72,74.65,54.96,null,7.3,4.2,3.3,3.5808,5.968,8.0568,8.952,3.2824,7.8,3.9,7.02,2.71,5.41,2.09,71.41,87.72,74.65,54.96,0.145,7.8,3.6,3.2,3.6144,6.3252,7.53,9.036,3.6144,8,4.3,8.16,2.21,5.52,2.4,71.41,87.72,74.65,54.96,0.151,8.2,3.4,3.4,3.6492,6.3861,7.2984,9.123,3.9533,8.4,4.4,9.11,2.31,4.92,3.04,71.41,87.72,74.65,54.96,0.123,8.6,3.6,3.2,3.3748,6.4428,7.0564,8.8972,4.602,8.7,4.6,9.74,2.95,4.7,3.28,71.41,87.72,74.65,54.96,0.145,9.1,3.4,2.9,3.7116,6.8046,7.1139,8.6604,4.6395,8.7,4.9,10.94,3.01,4.58,3.04,71.41,87.72,74.65,54.96,0.179,9.7,3.8,3.3,3.4276,7.1668,6.8552,8.4132,4.9856,9.4,5.2,11.69,2.67,4.42,4.4,71.41,87.72,74.65,54.96,0.213,9.8,4,3.5,3.14,7.222,6.908,8.478,5.338,9.5,5.3,11.13,2.63,3.93,5.93,71.41,87.72,74.65,54.96,0.141,10.5,4.7,3.8,3.162,7.5888,6.9564,8.2212,6.0078,10.2,5.6,11.34,3.11,3.59,8.26,71.41,87.72,74.65,54.96,0.301,12,5.6,4,3.186,7.965,7.0092,7.6464,6.0534,11.7,6.3,12.16,5.54,3.4,10.57,47,102.02,98.71,82.26,0.404,13.9,6.6,4.6,3.21,8.346,7.383,7.383,6.099,13.7,7.1,12.73,9.58,3.3,12.99,47,102.02,98.71,82.26,0.253,17.5,10.3,6.1,3.234,8.37,7.4382,7.1148,6.18,18.1,8.5,14.49,19.41,3.37,15.47,47,102.02,98.71,82.26,0.329,19.4,12.9,6.8,2.9313,8.46,7.4911,6.8397,6.1883,20.4,9.4,14.5,28.47,3.19,15.48,47,102.02,98.71,82.26,0.329
